Posto_ID;Cidade;Posto;Latitude;Longitude
546;Redenção;SITIO LIVRAMENTO;-4,216666667;-38,71666667
307;Salitre;SALITRE;-7,283694444;-40,45455556
657;Independência;VARZEA GRANDE;-5,683;-40,48330556
873;Martinópole;AÇUDE MARTINÓPOLE;-3,236527778;-40,61861111
770;Amontada;JACUIPE NASCENTE;-3,274555556;-39,90491667
853;Crateús;FAZENDA TAPUIO;-5,226194444;-40,80827778
794;Madalena;SALGADINHO;-4,807055556;-39,54575
430;Aurora;FAZENDA SANTA HELENA;-7,166666667;-39,06666667
39;Cedro;CEDRO;-6,596333333;-39,0615
145;Ubajara;UBAJARA;-3,853444444;-40,92258333
86;Massapê;MASSAPE;-3,522055556;-40,34438889
692;Novo Oriente;EMAUS;-5,509361111;-40,85575
568;Itapipoca;PRAIA DA BALEIA;-3,149138889;-39,44041667
51;Granjeiro;GRANJEIRO;-6,889972222;-39,21675
376;Barro;BALANCO;-6,983333333;-38,8
695;Quixadá;TAPUIARA;-5,067;-38,9
395;Russas;STO. ANTONIO DE RUSSAS;-4,833;-38,16669444
493;Quixadá;CIPO DOS ANJOS;-5,022388889;-38,72141667
230;Amontada;MOITAS;-3,00675;-39,68852778
846;Salitre;SERRA DO BAIXIO DO MOCO;-7,297861111;-40,30402778
109;Paracuru;PARACURU;-3,430166667;-39,03597222
137;Senador Sá;SENADOR SA;-3,351527778;-40,46333333
22;Baturité;BATURITE;-4,333;-38,86669444
699;Crateús;FAZENDA GRACINHA;-5,269138889;-40,71144444
232;Camocim;GURIU;-2,851305556;-40,58891667
317;Itapipoca;ASSUNCAO;-3,583;-39,65
740;Jati;SITIO MACAPA;-7,677694444;-39,01130556
270;Nova Russas;CANINDEZINHO;-4,767611111;-40,50713889
411;Caucaia;FAZENDA TIO COSME;-3,683333333;-38,9
216;Ipueiras;MATRIZ;-4,573194444;-40,81611111
576;Juazeiro do Norte;SITIO NOVO-VILA PE CICERO;-7,133;-39,33330556
375;Itatira;BANDEIRA;-4,605472222;-39,64705556
469;Juazeiro do Norte;AEROPORTO(JUAZ. DO NORTE);-7,216666667;-39,3
464;Iracema;AC. EMA;-5,766666667;-38,35
828;Guaramiranga;BOTIJA;-4,247388889;-38,94158333
865;Ibiapina;RANCHO AGUA FRIA;-3,987027778;-40,98738889
751;Milhã;CARNAUBINHA;-5,559361111;-39,16341667
274;Caucaia;LAGOA DA SERRA;-3,817;-38,95
540;Barbalha;ARAJARA;-7,266666667;-39,26666667
291;Maranguape;JUBAIA;-4,042583333;-38,72511111
845;Paramoti;ASSENTAMENTO PAPEL;-4,19675;-39,56125
